Title,Price,Mileage,City,Distance
2023 Mazda MAZDA3 2.5 S Carbon Edition Sedan,"$19,229","24,253 mi.","Indianapolis, IN",(437 mi. from 30605)
2021 Mazda MAZDA3 Select Hatchback,"$19,998","58,799 mi.","Raleigh, NC",(305 mi. from 30605)
2025 Mazda MAZDA3 2.5 S Sedan,"$17,244","10,945 mi.","Indianapolis, IN",(437 mi. from 30605)
2025 Mazda MAZDA3 2.5 S Select Sport,"$19,752","44,661 mi.","Tampa, FL",(412 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,000","54,785 mi.","Jacksonville, FL",(274 mi. from 30605)
2023 Mazda MAZDA3 2.5 S Select Hatchback,"$19,990","51,134 mi.","Raleigh, NC",(302 mi. from 30605)
2021 Mazda MAZDA3 Select Sedan,"$18,394","44,762 mi.","Tampa, FL",(417 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,797","51,209 mi.","Memphis, TN",(380 mi. from 30605)
2023 Mazda MAZDA3 2.5 S Select Sedan,"$19,661","35,496 mi.","Fort Pierce, FL",(491 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,898","50,622 mi.","Greensboro, NC",(246 mi. from 30605)
2021 Mazda MAZDA3 Select Sedan,"$19,495","57,351 mi.","Tallahassee, FL",(248 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,830","48,069 mi.","Summerville, SC",(196 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,898","54,458 mi.","Sterling, VA",(481 mi. from 30605)
2023 Mazda MAZDA3 2.5 S Select Sedan,"$18,894","69,281 mi.","Fuquay Varina, NC",(288 mi. from 30605)
2023 Mazda MAZDA3 2.5 S Select Sedan,"$19,509","46,676 mi.","Waldorf, MD",(484 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,708","54,845 mi.","Spartanburg, SC",(104 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,985","48,895 mi.","Petal, MS",(385 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport,"$18,904","52,395 mi.","Tampa, FL",(415 mi. from 30605)
2025 Mazda MAZDA3 2.5 S Select Sport,"$19,898","51,476 mi.","Pensacola, FL",(329 mi. from 30605)
2022 Mazda MAZDA3 2.5 S Hatchback,"$19,998","71,023 mi.","Gaithersburg, MD",(497 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,359","51,147 mi.","Bradenton, FL",(451 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,398","54,651 mi.","Gastonia, NC",(159 mi. from 30605)
2021 Mazda MAZDA3 Select Sedan,"$19,583","30,778 mi.","Bradenton, FL",(449 mi. from 30605)
2021 Mazda MAZDA3 2.0 Sedan,"$14,998","55,909 mi.","Orlando, FL",(396 mi. from 30605)
2021 Mazda MAZDA3 Select Sedan,"$17,948","55,777 mi.","Orlando, FL",(400 mi. from 30605)
2025 Mazda MAZDA3 2.5 S Preferred Sedan,"$15,871","13,571 mi.","Columbus, OH",(415 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,006","26,083 mi.","Venice, FL",(477 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,347","56,504 mi.","Metairie, LA",(483 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,998","55,515 mi.","Cincinnati, OH",(364 mi. from 30605)
2023 Mazda MAZDA3 2.5 S Select Sedan,"$19,500","64,056 mi.","Sterling, VA",(484 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,398","60,088 mi.","Roanoke, VA",(299 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,174","62,769 mi.","Cincinnati, OH",(371 mi. from 30605)
2024 Mazda MAZDA3 2.5 S Sedan,"$19,694","16,767 mi.","Tampa, FL",(417 mi. from 30605)
2022 Mazda MAZDA3 Select Sedan,"$19,046","54,995 mi.","Clearwater, FL",(419 mi. from 30605)
2021 MAZDA MAZDA3 Select Sedan 4D,"$19,990","44,915 mi.","Rocklin, CA",
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,384","45,508 mi.","Fresno, CA",
2022 Mazda Mazda3 AWD w/Preferred Package,"$19,696","40,589 mi.","Albuquerque, NM",
2021 Mazda MAZDA3 2.5 S Sedan,"$19,998","42,892 mi.","Houston, TX",
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,208","57,070 mi.","Lauderdale Lakes, FL",
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,224","56,457 mi.","Denton, TX",
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,298","52,943 mi.","Oklahoma City, OK",
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,489","45,592 mi.","Chandler, AZ",
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,584","48,563 mi.","San Diego, CA",
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,724","46,007 mi.","Humble, TX",
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,884","48,538 mi.","Gardena, CA",
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,898","51,420 mi.","Las Vegas, NV",
2022 Mazda MAZDA3 Select Sedan,"$19,219","47,858 mi.","Webster, TX",
2021 Mazda MAZDA3 Preferred Hatchback,"$18,220","73,543 mi.","Kingwood, TX",
2024 Mazda MAZDA3 2.5 S Select Sport Hatchback,"$19,065","43,379 mi.","Bakersfield, CA",
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,084","49,725 mi.","Rancho Cordova, CA",
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,488","46,276 mi.","Fontana, CA",
2024 Mazda MAZDA3 2.5 S Select Sport,"$19,724","43,387 mi.","Humble, TX",
2024 Mazda Mazda3 FWD w/Preferred Package,"$19,758","22,471 mi.","Plantation, FL",
